Key,Id,English (United States)(en-US),Korean (South Korea)(ko-KR),note
name_sample,1,nameSample,이름 샘플,
name_left_idle,2,LeftIdle,왼쪽이,
name_doctor_idle,3,DoctorIdle,박사,
name_right_idle,4,RightIdle,오른쪽이,
name_narrator_idle,5,narrator,나레이터,
dialogue_sample,6,dialogueSample,이름 샘플,
dialogue_left_test0,7,leftTest0,왼쪽테스트0,
dialogue_left_test1,8,leftTest1,왼쪽테스트1,
dialogue_left_test2,9,leftTest2,왼쪽테스트2,
dialogue_left_test3,10,leftTest3,왼쪽테스트3,
dialogue_right_test0,11,rightTest0,오른쪽테스트0,
dialogue_right_test1,12,rightTest1,오른쪽테스트1,
dialogue_right_test2,13,rightTest2,오른쪽테스트2,
dialogue_right_test3,14,rightTest3,오른쪽테스트3,
dialogue_doctor_test0,15,doctorTest0,박사테스트0,
dialogue_doctor_test1,16,doctorTest1,박사테스트1,
dialogue_doctor_test2,17,doctorTest2,박사테스트2,
dialogue_doctor_test3,18,doctorTest3,박사테스트3,
dialogue_narrator_test0,19,narratorTest0,나레이터테스트0,
dialogue_narrator_test1,20,narratorTest1,나레이터테스트1,
dialogue_narrator_test2,21,narratorTest2,나레이터테스트2,
dialogue_narrator_test3,22,narratorTest3,나레이터테스트3,
selection_sample,23,selectipnSample,선택지 샘플,
selection_test_leftUp,24,SelectionLeftUp,왼쪽선택지상,
selection_test_leftRight,25,SelectionLeftRight,왼쪽선택지우,
selection_test_leftDown,26,SelectionLeftDown,왼쪽선택지하,
selection_test_leftLeft,27,SelectionLeftLeft,왼쪽선택지좌,
selection_test_rightUp,28,SelectionRightUp,오른쪽선택지상,
selection_test_rightRight,29,SelectionRightRight,오른쪽선택지우,
selection_test_rightDown,30,SelectionRightDown,오른쪽선택지하,
selection_test_rightLeft,31,SelectionRightLeft,오른쪽선택지좌,
